,cities
0,Abadia Dos Dourados - MG
1,Abadiania - GO
2,Abaete - MG
3,Abaetetuba - PA
4,Abaira - BA
5,Abatia - PR
6,Abelardo Luz - SC
7,Abre Campo - MG
8,Abreu E Lima - PE
9,Acaiaca - MG
10,Acailandia - MA
11,Acarau - CE
12,Acopiara - CE
13,Acorizal - MT
14,Acreuna - GO
15,Acucena - MG
16,Adamantina - SP
17,Adelandia - GO
18,Adrianopolis - PR
19,Afogados Da Ingazeira - PE
20,Afonso Claudio - ES
21,Agrestina - PE
22,Agua Boa - MG
23,Agua Boa - MT
24,Agua Branca - PB
25,Agua Branca - PI
26,Agua Clara - MS
27,Agua Comprida - MG
28,Agua Doce Do Norte - ES
29,Aguai - SP
30,Agua Limpa - GO
31,Aguas Belas - PE
32,Aguas Da Prata - SP
33,Aguas De Chapeco - SC
34,Aguas De Lindoia - SP
35,Aguas De Santa Barbara - SP
36,Aguas De Sao Pedro - SP
37,Aguas Lindas De Goias - GO
38,Aguiarnopolis - TO
39,Aimores - MG
40,Alagoa Grande - PB
41,Alagoinha - PB
42,Alagoinha - PE
43,Alagoinhas - BA
44,Alambari - SP
45,Alcobaca - BA
46,Alegre - ES
47,Alegrete - RS
48,Alegrete Do Piaui - PI
49,Alem Paraiba - MG
50,Alexania - GO
51,Alfenas - MG
52,Alfredo Wagner - SC
53,Alianca Do Tocantins - TO
54,Almeirim - PA
55,Almenara - MG
56,Aloandia - GO
57,Alpinopolis - MG
58,Alta Floresta - MT
59,Altamira - PA
60,Alterosa - MG
61,Alto Alegre - SP
62,Alto Araguaia - MT
63,Alto Boa Vista - MT
64,Alto Garcas - MT
65,Alto Horizonte - GO
66,Alto Jequitiba - MG
67,Altonia - PR
68,Alto Paraguai - MT
69,Alto Paraiso - RO
70,Alto Paraiso De Goias - GO
71,Alto Parana - PR
72,Alto Piquiri - PR
73,Alto Rio Novo - ES
74,Altos - PI
75,Alto Santo - CE
76,Alto Taquari - MT
77,Alvorada - TO
78,Alvorada Do Gurgueia - PI
79,Alvorada Do Norte - GO
80,Amambai - MS
81,Amapora - PR
82,Amarante - PI
83,Amargosa - BA
84,Amelia Rodrigues - BA
85,Americana - SP
86,Americano Do Brasil - GO
87,Amorinopolis - GO
88,Amparo - SP
89,Ampere - PR
90,Anajatuba - MA
91,Ananindeua - PA
92,Anapolis - GO
93,Anapu - PA
94,Anchieta - ES
95,Andarai - BA
96,Andira - PR
97,Andorinha - BA
98,Andradas - MG
99,Andradina - SP
100,Angical Do Piaui - PI
101,Angicos - RN
102,Angra Dos Reis - RJ
103,Anguera - BA
104,Anhembi - SP
105,Anicuns - GO
106,Antonina - PR
107,Antonio Almeida - PI
108,Aparecida - SP
109,Aparecida De Goiania - GO
110,Aparecida Do Rio Doce - GO
111,Aparecida Do Taboado - MS
112,Apiai - SP
113,Apodi - RN
114,Apucarana - PR
115,Aracagi - PB
116,Aracai - MG
117,Aracaju - SE
118,Aracati - CE
119,Aracatuba - SP
120,Araci - BA
121,Aracruz - ES
122,Aragarcas - GO
123,Araguacu - TO
124,Araguaiana - MT
125,Araguaina - TO
126,Araguapaz - GO
127,Araguari - MG
128,Araguatins - TO
129,Aral Moreira - MS
