,cidade
0,abadia-dos-dourados
1,abadiania
2,abaete
3,abaetetuba
4,abaira
5,abatia
6,abelardo-luz
7,abre-campo
8,abreu-e-lima
9,acaiaca
10,acailandia
11,acarau
12,acopiara
13,acorizal
14,acreuna
15,acucena
16,adamantina
17,adelandia
18,adrianopolis
19,afogados-da-ingazeira
20,afonso-claudio
21,agrestina
22,agua-boa
23,agua-boa
24,agua-branca
25,agua-branca
26,agua-clara
27,agua-comprida
28,agua-doce-do-norte
29,aguai
30,agua-limpa
31,aguas-belas
32,aguas-da-prata
34,aguas-de-lindoia
35,aguas-de-santa-barbara
36,aguas-de-sao-pedro
37,aguas-lindas-de-goias
38,aguiarnopolis
39,aimores
40,alagoa-grande
41,alagoinha
42,alagoinha
43,alagoinhas
44,alambari
45,alcobaca
46,alegre
47,alegrete
48,alegrete-do-piaui
49,alem-paraiba
50,alexania
51,alfenas
52,alfredo-wagner
53,alianca-do-tocantins
54,almeirim
55,almenara
56,aloandia
57,alpinopolis
58,alta-floresta
59,altamira
60,alterosa
61,alto-alegre
62,alto-araguaia
63,alto-boa-vista
64,alto-garcas
65,alto-horizonte
66,alto-jequitiba
67,altonia
68,alto-paraguai
69,alto-paraiso
70,alto-paraiso-de-goias
71,alto-parana
72,alto-piquiri
73,alto-rio-novo
74,altos
75,alto-santo
76,alto-taquari
77,alvorada
78,alvorada-do-gurgueia
79,alvorada-do-norte
80,amambai
81,amapora
82,amarante
83,amargosa
84,amelia-rodrigues
85,americana
86,americano-do-brasil
87,amorinopolis
88,amparo
89,ampere
90,anajatuba
91,ananindeua
92,anapolis
93,anapu
94,anchieta
95,andarai
96,andira
97,andorinha
98,andradas
99,andradina
100,angical-do-piaui
101,angicos
102,angra-dos-reis
103,anguera
104,anhembi
105,anicuns
106,antonina
107,antonio-almeida
108,aparecida
109,aparecida-de-goiania
110,aparecida-do-rio-doce
111,aparecida-do-taboado
112,apiai
114,apucarana
115,aracagi
116,aracai
117,aracaju
118,aracati
119,aracatuba
120,araci
121,aracruz
122,aragarcas
123,araguacu
124,araguaiana
125,araguaina
126,araguapaz
127,araguari
128,araguatins
129,aral-moreira
130,arapiraca
131,arapongas
132,arapoti
133,araputanga
134,araquari
135,arara
136,ararangua
137,araraquara
138,araras
139,ararenda
140,arari
141,araripina
142,araruama
144,aratuipe
145,araucaria
146,araujos
147,araxa
148,arcos
149,arcoverde
150,areado
151,areal
152,areia
153,areia-branca
154,arenapolis
155,arenopolis
156,arinos
157,aripuana
158,ariquemes
159,arraias
160,arroio-do-sal
161,arroio-dos-ratos
162,artur-nogueira
163,aruana
164,ascurra
165,assai
166,assis
167,assis-chateaubriand
168,assuncao
169,astolfo-dutra
170,astorga
171,atibaia
172,atilio-vivacqua
173,auriflama
174,aurilandia
175,avare
176,aveiro
177,avelino-lopes
178,bacabal
179,bacabeira
181,bage
182,baia-da-traicao
183,baixa-grande
184,baixa-grande-do-ribeiro
185,baixo-guandu
186,baldim
187,balneario-camboriu
188,balneario-picarras
189,balneario-pinhal
190,balsas
191,banabuiu
192,bananeiras
193,bandeirantes
194,bandeirantes
195,barao-de-cocais
196,barao-de-melgaco
197,barbacena
198,barbalha
199,barbosa-ferraz
200,barcelona
202,bariri
203,barra
204,barra-bonita
205,barracao
206,barracao
207,barra-da-estiva
208,barra-de-santa-rosa
209,barra-de-sao-francisco
210,barra-do-bugres
211,barra-do-corda
212,barra-do-garcas
213,barra-do-mendes
214,barra-do-pirai
215,barra-mansa
216,barra-velha
217,barreiras
218,barreirinhas
219,barreiros
220,barretos
221,barrinha
222,barro-alto
223,barro-duro
224,barrolandia
225,barroso
226,barueri
227,bastos
229,batalha
230,baturite
231,bauru
232,bebedouro
233,beberibe
234,bela-cruz
235,belagua
236,bela-vista-de-goias
237,bela-vista-do-paraiso
238,belem
239,belem
240,belford-roxo
241,belo-horizonte
242,belo-jardim
243,belo-oriente
244,belo-vale
245,benevides
246,bento-goncalves
247,berizal
248,bernardino-de-campos
249,bertioga
250,bertolinia
251,betania-do-piaui
252,betim
253,bezerros
254,bicas
255,biguacu
256,birigui
257,bituruna
258,blumenau
259,boa-esperanca
260,boa-vista
261,boa-vista
262,bocaina
263,bofete
264,boituva
265,bom-conselho
266,bom-despacho
267,bom-jardim-de-minas
268,bom-jesus
269,bom-jesus
270,bom-jesus
271,bom-jesus-da-lapa
272,bom-jesus-de-goias
273,bom-jesus-do-amparo
274,bom-jesus-do-araguaia
275,bom-jesus-do-galho
277,bom-sucesso
278,bonfim
279,bonfinopolis
280,bonfinopolis-de-minas
281,bonito
282,bonito-de-minas
283,bonopolis
284,boqueirao
285,boquim
286,boquira
287,boraceia
288,borba
289,borborema
291,botucatu
292,braco-do-norte
293,braga
294,braganca
295,braganca-paulista
296,brasilandia
297,brasilandia-do-tocantins
298,brasileira
299,brasilia
300,brasil-novo
301,brasnorte
302,braunas
303,brejetuba
304,brejinho
306,brejo-santo
307,breu-branco
308,britania
309,brotas
310,brumado
311,brusque
312,buenopolis
313,buenos-aires
314,buique
315,buri
316,buriti-alegre
317,buriticupu
318,buriti-de-goias
319,buritirana
320,buritis
321,caarapo
322,cabaceiras
323,cabeceiras
324,cabo-frio
325,cabrobo
326,cacador
328,caceres
329,cachoeira
330,cachoeira-alta
331,cachoeira-do-sul
332,cachoeira-dourada
333,cachoeira-dourada
334,cachoeirinha
335,cachoeirinha
336,cachoeiro-de-itapemirim
337,cacimba-de-dentro
338,cacimbinhas
339,cacoal
340,caconde
341,cacu
342,caetanopolis
343,cafeara
344,cafelandia
345,cafelandia
346,caiaponia
347,caicara
348,caico
349,cajapio
350,cajati
351,cajazeiras
352,cajazeirinhas
353,cajueiro-da-praia
354,cajuru
355,caldas
356,caldas-brandao
357,caldas-novas
358,california
359,calmon
360,camacari
361,camamu
362,camanducaia
363,camapua
364,camaqua
365,camaragibe
366,cambara
367,cambe
368,cambira
369,camboriu
370,cambuci
371,cambui
372,cambuquira
373,camocim
374,campanha
375,campestre
376,campestre-do-maranhao
377,campinacu
378,campina-da-lagoa
379,campina-grande
380,campinapolis
381,campinas
382,campina-verde
383,campinorte
384,campo-alegre
385,campo-alegre-de-goias
386,campo-belo
387,campo-bom
388,campo-do-meio
389,campo-do-tenente
390,campo-ere
391,campo-formoso
392,campo-grande
393,campo-grande
394,campo-largo
395,campo-maior
396,campo-mourao
397,campo-novo-do-parecis
398,campos-altos
399,campos-belos
400,campos-de-julio
401,campos-do-jordao
402,campos-dos-goytacazes
403,campos-gerais
404,campos-novos
405,campos-sales
406,campo-verde
407,canaa-dos-carajas
408,canabrava-do-norte
409,canapolis
410,canarana
411,canarana
412,canavieira
413,canavieiras
414,candeias
415,candido-mota
416,candido-sales
417,candoi
418,canela
419,canelinha
420,canhotinho
421,caninde
422,canitar
423,canoas
424,canoinhas
425,cantagalo
426,cantagalo
427,canto-do-buriti
428,canudos
429,capanema
430,capanema
431,capao-bonito
432,capao-da-canoa
433,capelinha
434,capetinga
435,capim-grosso
436,capinopolis
437,capinzal
438,capinzal-do-norte
439,capitao-andrade
440,capitao-de-campos
441,capitao-leonidas-marques
442,capitolio
443,capivari
444,caracarai
445,caracol
446,caraguatatuba
447,carangola
448,caratinga
449,caraubas
450,carazinho
451,carbonita
452,cardoso
453,cariacica
454,carlopolis
455,carlos-barbosa
456,carlos-chagas
457,carmesia
458,carmo-da-mata
459,carmo-de-minas
460,carmo-do-cajuru
461,carmo-do-paranaiba
462,carmo-do-rio-claro
463,carmopolis-de-minas
464,carnaiba
465,caroebe
466,carolina
467,carrapateira
468,caruaru
469,carvalhos
470,casa-branca
473,casserengue
474,cassia
475,cassilandia
476,castanhal
477,castanheira
478,castelandia
479,castelo
480,castro
481,cataguases
482,catalao
484,catanduvas
485,catas-altas
486,caturite
487,caucaia
488,caxambu
489,caxias
490,caxias-do-sul
491,cedro
492,central
493,centralina
494,cerejeiras
495,ceres
496,cerqueira-cesar
497,cerquilho
498,cerro-azul
499,cesario-lange
500,ceu-azul
501,chapada-dos-guimaraes
