,cidade,estado,habitantes,ranking_habitantes_pais,ranking_habitantes_estado,densidade_demografica,salario_medio,ranking_salario_pais,ranking_salario_estado,pessoas_ocupadas,porcentagem_ocupada,escolarizacao_6_14,ranking_escolaridade_pais,ranking_escolaridade_estado,anos_inicias_fundamental_publico,anos_inicias_fundamental_particular,pib_per_capta,ranking_pib_pais,ranking_pib_estado,percentual_receita_externa,total_receitas_realizadas,total_receitas_empenhadas,mortalidade_infantil,ranking_mortalidade_pais,ranking_mortalidade_estado,internacoes_diarreia,area_territorial,ranking_area_pais,ranking_area_estado,percentual_esgoto,percentual_arborizacao_publica,percentual_urbanizacao_publica
0,abadia-dos-dourados,mg,6.704 pessoas,3716º,491º,"7,61 hab/km²","1,4 salários mínimos",,773º,1.969 pessoas,"28,2 %","98,3 %",,-1,"6,6","5,4","21.953,45 R$",,-1,"91,2 %","21.894,90 R$ (×1000)","18.793,52 R$ (×1000)",- óbitos por mil nascidos vivos,-1,-1,"1,7 internações por mil habitantes","881,064 km²",1582º,-1,"59,9 %","75,9 %","36,3 %"
0,abadiania,go,15.757 pessoas,2077º,65º,"15,08 hab/km²","1,8 salários mínimos",-1,150º,2.392 pessoas,"12,2 %","94,3 %",1134º,-1,"5,2","5,2","16.157,24 R$",-1,-1,"72,4 %","45.743,81 R$ (×1000)","40.518,08 R$ (×1000)","19,61 óbitos por mil nascidos vivos",3263º,-1,"0,1 internações por mil habitantes","1.045,127 km²",1376º,-1,"77,5 %","77,3 %","0,9 %"
0,abaete,mg,22.690 pessoas,1439º,156º,"12,49 hab/km²","1,9 salários mínimos",,182º,4.419 pessoas,"19,0 %","99,8 %",,-1,"7,0","4,6","18.044,21 R$",,-1,"86,8 %","45.220,32 R$ (×1000)","40.774,22 R$ (×1000)","12,30 óbitos por mil nascidos vivos",-1,-1,"0,8 internações por mil habitantes","1.817,067 km²",,-1,85 %,"91,6 %","13,9 %"
0,abaetetuba,pa,141.100 pessoas,187º,7º,"87,61 hab/km²","1,8 salários mínimos",,96º,11.542 pessoas,"7,4 %","97,7 %",,-1,"4,6","3,3","8.718,18 R$",,,"93,1 %","247.401,54 R$ (×1000)","223.555,04 R$ (×1000)","15,85 óbitos por mil nascidos vivos",3263º,-1,"4,2 internações por mil habitantes","1.610,652 km²",-1,-1,"16,5 %",26 %,"5,1 %"
0,abaira,ba,8.316 pessoas,3303º,372º,"15,68 hab/km²","1,5 salários mínimos",-1,352º,660 pessoas,"7,5 %","97,2 %",-1,-1,"5,6","4,4","6.353,73 R$",-1,-1,"89,6 %","19.330,58 R$ (×1000)","18.286,42 R$ (×1000)",- óbitos por mil nascidos vivos,3303º,-1,"0,1 internações por mil habitantes","538,677 km²",-1,-1,"12,2 %","75,6 %","1,3 %"
0,abatia,pr,7.764 pessoas,3441º,224º,"33,95 hab/km²","2,0 salários mínimos",-1,239º,1.156 pessoas,"15,4 %","96,5 %",,,"5,9","5,1","22.813,99 R$",-1,-1,"81,6 %","21.302,48 R$ (×1000)","17.805,69 R$ (×1000)","17,24 óbitos por mil nascidos vivos",224º,-1,"3,1 internações por mil habitantes","228,717 km²",-1,,31 %,"55,5 %","20,7 %"
0,abelardo-luz,sc,17.100 pessoas,1945º,70º,"17,94 hab/km²","2,2 salários mínimos",-1,118º,4.264 pessoas,"23,9 %","97,1 %",,-1,"6,4","4,7","33.976,15 R$",-1,,"84,8 %","62.978,76 R$ (×1000)","54.531,84 R$ (×1000)","21,66 óbitos por mil nascidos vivos",,-1,"7,4 internações por mil habitantes","953,992 km²",1481º,-1,"12,4 %","64,1 %","14,9 %"
0,abre-campo,mg,13.311 pessoas,2429º,277º,"28,29 hab/km²","1,5 salários mínimos",,664º,1.863 pessoas,"13,8 %","97,4 %",-1,-1,"6,8","4,9","13.453,99 R$",,-1,"90,7 %","32.100,12 R$ (×1000)","29.577,57 R$ (×1000)",- óbitos por mil nascidos vivos,3079º,-1,"7,1 internações por mil habitantes","470,551 km²",-1,-1,"48,7 %","40,2 %","54,1 %"
0,abreu-e-lima,pe,94.429 pessoas,302º,13º,"748,29 hab/km²","2,0 salários mínimos",,14º,12.795 pessoas,"12,8 %","97,2 %",-1,-1,"4,5","4,1","20.164,90 R$",,13º,"89,3 %","154.773,90 R$ (×1000)","150.392,49 R$ (×1000)","7,24 óbitos por mil nascidos vivos",,-1,"0,5 internações por mil habitantes","126,193 km²",-1,-1,"44,8 %","24,1 %","6,9 %"
0,acaiaca,mg,3.920 pessoas,4696º,714º,"38,47 hab/km²","1,6 salários mínimos",-1,515º,466 pessoas,"11,7 %",96 %,-1,-1,"6,4","3,7","9.535,73 R$",-1,-1,"93,3 %","14.072,56 R$ (×1000)","12.445,28 R$ (×1000)",- óbitos por mil nascidos vivos,,-1,"0,7 internações por mil habitantes","101,886 km²",-1,-1,63 %,"64,7 %","67,5 %"
0,acailandia,ma,104.047 pessoas,265º,8º,"17,92 hab/km²","2,1 salários mínimos",-1,30º,16.398 pessoas,"14,7 %","97,7 %",,-1,"5,0","4,1","19.780,01 R$",-1,13º,"74,8 %","276.417,09 R$ (×1000)","247.664,14 R$ (×1000)","13,67 óbitos por mil nascidos vivos",,-1,3 internações por mil habitantes,"5.808,304 km²",-1,-1,13 %,"59,5 %","6,4 %"
0,acarau,ce,57.551 pessoas,521º,24º,"68,31 hab/km²","1,9 salários mínimos",,20º,4.342 pessoas,"6,9 %","96,8 %",,-1,"6,3","5,1","10.192,64 R$",,,"65,6 %","132.656,39 R$ (×1000)","116.962,81 R$ (×1000)","8,81 óbitos por mil nascidos vivos",-1,-1,"2,2 internações por mil habitantes","842,471 km²",1641º,-1,"16,5 %","93,9 %","1,7 %"
0,acopiara,ce,51.160 pessoas,599º,33º,"22,58 hab/km²","1,7 salários mínimos",,49º,2.924 pessoas,"5,4 %","97,2 %",1158º,-1,"6,0","5,2","7.405,32 R$",,,"86,4 %","153.148,71 R$ (×1000)","125.356,17 R$ (×1000)","19,54 óbitos por mil nascidos vivos",,-1,"1,9 internações por mil habitantes","2.254,279 km²",,-1,"18,1 %","90,6 %","5,3 %"
0,acorizal,mt,5.516 pessoas,4084º,92º,"6,56 hab/km²","3,3 salários mínimos",-1,2º,602 pessoas,"11,1 %","96,6 %",-1,-1,"5,1","4,3","13.613,05 R$",-1,,-,- R$ (×1000),- R$ (×1000),- óbitos por mil nascidos vivos,,-1,"0,6 internações por mil habitantes","1.014,029 km²",1401º,-1,8 %,"10,8 %",0 %
0,acreuna,go,20.279 pessoas,1619º,51º,"12,95 hab/km²","2,4 salários mínimos",,28º,3.155 pessoas,"14,2 %","97,1 %",1126º,,"6,2","5,4","30.454,31 R$",,,"72,1 %","69.963,06 R$ (×1000)","64.395,63 R$ (×1000)","14,76 óbitos por mil nascidos vivos",-1,-1,"2,3 internações por mil habitantes","1.565,997 km²",69º,,"17,5 %","91,6 %","0,3 %"
0,acucena,mg,10.276 pessoas,2980º,350º,"12,60 hab/km²","1,5 salários mínimos",-1,664º,530 pessoas,"5,5 %","96,7 %",-1,-1,"5,8","4,8","9.702,71 R$",-1,,"93,6 %","19.477,67 R$ (×1000)","19.513,36 R$ (×1000)",- óbitos por mil nascidos vivos,2980º,-1,"0,1 internações por mil habitantes","815,422 km²",-1,-1,"43,8 %","64,5 %","7,7 %"
0,adamantina,sp,33.797 pessoas,915º,176º,"82,15 hab/km²","2,1 salários mínimos",,402º,12.292 pessoas,"35,1 %","97,6 %",915º,,"6,9","4,9","30.010,56 R$",,,"55,4 %","160.718,68 R$ (×1000)","137.083,67 R$ (×1000)","11,63 óbitos por mil nascidos vivos",-1,-1,"1,6 internações por mil habitantes","411,987 km²",-1,,"95,8 %","99,3 %","17,9 %"
0,adelandia,go,2.477 pessoas,5290º,226º,"21,47 hab/km²","1,6 salários mínimos",-1,208º,443 pessoas,"17,6 %",100 %,,,"4,7","4,9","14.123,19 R$",-1,,"93,9 %","12.780,35 R$ (×1000)","11.340,79 R$ (×1000)",- óbitos por mil nascidos vivos,,-1,-,"115,353 km²",-1,,"22,4 %","98,3 %",0 %
0,adrianopolis,pr,6.376 pessoas,3812º,255º,"4,73 hab/km²","2,7 salários mínimos",-1,19º,1.151 pessoas,"19,2 %","95,8 %",1090º,-1,"5,7","4,0","40.690,26 R$",-1,1º,-,- R$ (×1000),- R$ (×1000),"10,20 óbitos por mil nascidos vivos",,-1,-,"1.349,311 km²",-1,-1,"36,3 %","26,3 %","36,1 %"
0,afogados-da-ingazeira,pe,35.088 pessoas,878º,52º,"92,90 hab/km²","1,8 salários mínimos",,40º,3.819 pessoas,"10,3 %","97,3 %",878º,-1,"5,5","5,2","10.945,33 R$",,2º,"84,8 %","84.524,29 R$ (×1000)","84.199,55 R$ (×1000)","13,41 óbitos por mil nascidos vivos",3263º,-1,"0,3 internações por mil habitantes","377,696 km²",,-1,71 %,"86,7 %","1,3 %"
0,afonso-claudio,es,31.091 pessoas,1016º,19º,"32,68 hab/km²","1,8 salários mínimos",-1,52º,4.023 pessoas,"13,1 %",94 %,1016º,-1,"6,4","5,0","13.573,12 R$",-1,,"91,5 %","80.576,77 R$ (×1000)","69.965,87 R$ (×1000)","8,24 óbitos por mil nascidos vivos",3263º,-1,"1,2 internações por mil habitantes","941,188 km²",1503º,-1,"52,3 %","43,1 %","25,5 %"
0,agrestina,pe,22.679 pessoas,1442º,86º,"112,58 hab/km²","1,5 salários mínimos",-1,154º,1.768 pessoas,"7,2 %","96,4 %",-1,-1,"4,4","3,7","10.074,04 R$",-1,-1,90 %,"61.063,17 R$ (×1000)","60.315,07 R$ (×1000)","5,92 óbitos por mil nascidos vivos",-1,-1,"2,7 internações por mil habitantes","200,581 km²",,-1,"67,8 %","63,9 %","1,8 %"
