,cidade,estado,habitantes,ranking_habitantes_pais,ranking_habitantes_estado,densidade_demografica,salario_medio,ranking_salario_pais,ranking_salario_estado,pessoas_ocupadas,porcentagem_ocupada,escolarizacao_6_14,ranking_escolaridade_pais,ranking_escolaridade_estado,anos_inicias_fundamental_publico,anos_inicias_fundamental_particular,pib_per_capta,ranking_pib_pais,ranking_pib_estado,percentual_receita_externa,total_receitas_realizadas,total_receitas_empenhadas,mortalidade_infantil,ranking_mortalidade_pais,ranking_mortalidade_estado,internacoes_diarreia,area_territorial,ranking_area_pais,ranking_area_estado,percentual_esgoto,percentual_arborizacao_publica,percentual_urbanizacao_publica
0,aguas-de-chapeco,sc,6.110 pessoas,3895º,173º,"43,70 hab/km²","2,2 salários mínimos",,118º,651 pessoas,"10,1 %","99,3 %",-1,-1,"6,1","4,5","15.070,84 R$",,-1,"90,1 %","19.632,02 R$ (×1000)","16.715,00 R$ (×1000)",- óbitos por mil nascidos vivos,3030º,-1,"7,2 internações por mil habitantes","139,511 km²",,-1,"11,1 %","97,4 %","25,4 %"
0,apodi,rn,34.763 pessoas,885º,13º,"21,69 hab/km²","1,7 salários mínimos",-1,90º,4.506 pessoas,"12,6 %","97,2 %",885º,-1,"4,9","3,9","12.973,90 R$",-1,,"88,4 %","65.151,73 R$ (×1000)","61.116,86 R$ (×1000)","8,13 óbitos por mil nascidos vivos",,-1,"3,3 internações por mil habitantes","1.602,477 km²",-1,-1,"10,5 %","84,2 %","4,2 %"
0,araruna,pb,18.879 pessoas,1750º,35º,"76,83 hab/km²","1,7 salários mínimos",-1,67º,1.439 pessoas,"7,1 %","97,5 %",,-1,"4,3","3,0","8.104,98 R$",-1,-1,"95,8 %","39.593,81 R$ (×1000)","38.425,88 R$ (×1000)","18,78 óbitos por mil nascidos vivos",2904º,-1,14 internações por mil habitantes,"246,717 km²",-1,-1,42 %,"87,1 %","8,3 %"
0,bacurituba,ma,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,barcelos,am,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,bataguassu,ms,19.839 pessoas,1663º,26º,"8,21 hab/km²","2,1 salários mínimos",809º,42º,6.077 pessoas,"26,8 %","97,9 %",,-1,"5,8","4,9","35.368,22 R$",809º,-1,"60,8 %","101.072,50 R$ (×1000)","76.316,63 R$ (×1000)","8,06 óbitos por mil nascidos vivos",-1,-1,"1,9 internações por mil habitantes","2.392,476 km²",-1,-1,"49,7 %","95,2 %",11 %
0,bom-jesus-dos-perdoes,sp,19.708 pessoas,1676º,248º,"181,87 hab/km²","2,5 salários mínimos",,187º,6.109 pessoas,"24,5 %","97,7 %",,-1,"6,9","5,2","35.962,34 R$",,-1,"63,4 %","82.258,03 R$ (×1000)","67.840,88 R$ (×1000)","12,16 óbitos por mil nascidos vivos",-1,-1,"0,2 internações por mil habitantes","108,366 km²",-1,-1,"96,3 %","96,5 %","74,2 %"
0,brejolandia,ba,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,cacapava,sp,84.752 pessoas,330º,82º,"229,66 hab/km²","3,2 salários mínimos",478º,43º,23.741 pessoas,"25,4 %",98 %,-1,-1,"6,2","4,6","44.013,99 R$",478º,,"76,5 %","245.450,23 R$ (×1000)","222.305,83 R$ (×1000)","9,50 óbitos por mil nascidos vivos",3237º,-1,"0,1 internações por mil habitantes","368,990 km²",-1,-1,"87,1 %","85,8 %","39,8 %"
0,cascavel,ce,66.142 pessoas,445º,19º,"78,99 hab/km²","1,5 salários mínimos",,119º,10.070 pessoas,"14,1 %","96,7 %",,-1,"6,5","5,1","12.605,08 R$",,,"84,8 %","157.576,14 R$ (×1000)","146.954,71 R$ (×1000)","14,96 óbitos por mil nascidos vivos",,-1,"0,8 internações por mil habitantes","838,115 km²",1653º,-1,"14,5 %","82,8 %","2,8 %"
